,Worker,flip-class,hypoID,hypothesis,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
288,A2EI075XZT9Y2S,Uncertain-Same,9635.0,"For me it's. Usually when you're in school, you'll wear sweatpants.",data-slices,entailment,0.95,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,neutral,True
288,A2EI075XZT9Y2S,Uncertain-Flip,9640.0,"For me jeans are more comfortable. Usually when you're in school, you'll wear sweatpants.",data-slices,contradiction,0.95,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,neutral,True
393,A30HUZHJBOX1LK,Uncertain-Same,52241.0,"He complained about a lot of things, but didn't tell her.",gradient,neutral,0.98,17838.0,He can tell her of something bad that has happened without fearing that she will think he is complaining.,contradiction,True
393,A30HUZHJBOX1LK,Uncertain-Flip,52246.0,He complained about a lot of things to her.,gradient,contradiction,0.98,17838.0,He can tell her of something bad that has happened without fearing that she will think he is complaining.,neutral,True
393,A30HUZHJBOX1LK,Uncertain-Same,52248.0,"He complained about a lot of things, but never said anything to her.",gradient,neutral,0.98,17838.0,He can tell her of something bad that has happened without fearing that she will think he is complaining.,contradiction,True
303,A30HUZHJBOX1LK,Uncertain-Flip,56530.0,Many factors have made it hard for Poland to become capitalist.,gradient,entailment,1.0,19275.0,Poland's road to capitalism and democracy has been a complicated one.,neutral,True
324,A2EI075XZT9Y2S,Uncertain-Flip,58437.0,"Over five years, hospitals have not been required to distribute this statement.",gradient,contradiction,1.0,19899.0,"At present, hospitals are required to distribute a statement entitled An Important Message from Medicare5 to patients at or about the time of admission.",neutral,True
222,A2EI075XZT9Y2S,Uncertain-Same,11013.0,There is only one way to monitor and report emissions.,data-slices,contradiction,0.99,20008.0,"To ensure that the cap is met and to provide credibility, sources also are required to install systems that continuously monitor and report emissions.",neutral,True
363,A2EI075XZT9Y2S,Uncertain-Flip,59139.0,It was a complete shock that Dave had made it.,gradient,neutral,0.99,20128.0,"You're alive!""  Dave was still amazed at that himself.",entailment,True
399,A30HUZHJBOX1LK,Uncertain-Flip,60898.0,People want to learn island dialects from in Balearic culture.,gradient,entailment,0.97,20696.0,With the revival of island dialects has come a renewed interest in Balearic culture.,neutral,True
291,A2EI075XZT9Y2S,Certain-Flip,11422.0,The Legal Aid Bureau helps people become more independent and.,data-slices,entailment,0.95,20749.0,In a society that stresses individual achievement Co where you pull yourself up by your bootstraps Co the Legal Aid Bureau helps those without boots.,neutral,True
327,A2EI075XZT9Y2S,Uncertain-Flip,61333.0,Tuppence was ordered to go to bed and play some more.,gradient,neutral,1.0,20888.0,"So you see you had better go to bed."" Suddenly Tuppence felt afraid.",contradiction,True
327,A2EI075XZT9Y2S,Uncertain-Same,61337.0,Tuppence wanted to stay up and play some more.,gradient,contradiction,1.0,20888.0,"So you see you had better go to bed."" Suddenly Tuppence felt afraid.",neutral,True
444,A30HUZHJBOX1LK,Certain-Same,63550.0,They can sell you extra insurance but you'll have to get your equipment down the road.,gradient,contradiction,0.94,21616.0,They can supply equipment and extra insurance if you need it.,neutral,True
444,A30HUZHJBOX1LK,Uncertain-Same,63551.0,"They can sell you insurance, though you'll have to get your equipment down the road.",gradient,contradiction,0.94,21616.0,They can supply equipment and extra insurance if you need it.,neutral,True
444,A30HUZHJBOX1LK,Uncertain-Same,63552.0,"They can sell you insurance and equipment, but you'll have to get your equipment down the road.",gradient,contradiction,0.94,21616.0,They can supply equipment and extra insurance if you need it.,neutral,True
207,A2EI075XZT9Y2S,Certain-Flip,15665.0,Poblete claims that the reports were lost due to technical difficulties but will soon be released.,data-slices,neutral,1.0,28909.0,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,contradiction,True
207,A2EI075XZT9Y2S,Uncertain-Flip,15669.0,Poblete claims that the reports were lost due to technical difficulties and will soon be released.,data-slices,neutral,1.0,28909.0,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,contradiction,True
207,A2EI075XZT9Y2S,Uncertain-Flip,15670.0,Poblete claims that the reports were lost due to technical difficulties and will be released.,data-slices,neutral,1.0,28909.0,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,contradiction,True
177,A2C84POENS2UNY,Certain-Same,16400.0,"I pull my Jeep with it,.",data-slices,contradiction,1.0,30305.0,i've got a big Oldsmobile that i pull it with when i,neutral,True
177,A2C84POENS2UNY,Uncertain-Same,16401.0,I pull my Jeep with it when I drive my Oldsmobile.,data-slices,contradiction,1.0,30305.0,i've got a big Oldsmobile that i pull it with when i,neutral,True
180,A2C84POENS2UNY,Certain-Flip,18323.0,Clients with high trait anger were less successful with directive interventions.,data-slices,entailment,1.0,33596.0,"Clients with high trait anger, who were therefore likely to resist directive interventions, were more successful with a motivational enhancement intervention.",neutral,True
180,A2C84POENS2UNY,Uncertain-Same,18327.0,Clients with high trait anger were more likely to resist with directive interventions.,data-slices,contradiction,1.0,33596.0,"Clients with high trait anger, who were therefore likely to resist directive interventions, were more successful with a motivational enhancement intervention.",entailment,True
270,A30HUZHJBOX1LK,Uncertain-Flip,18704.0,The influence is less clearly felt at the Villa Nazionale than at Stra.,data-slices,contradiction,0.97,34167.0,"The influence is clear even in the most spectacular of the Brenta villas, at Stra, the opulent Villa Pisani, or Villa Nazionale.",neutral,True
270,A30HUZHJBOX1LK,Uncertain-Flip,18705.0,The influence is less felt at the Villa Nazionale than at Stra.,data-slices,contradiction,0.97,34167.0,"The influence is clear even in the most spectacular of the Brenta villas, at Stra, the opulent Villa Pisani, or Villa Nazionale.",neutral,True
243,A2EI075XZT9Y2S,Uncertain-Flip,19010.0,Government bonds are performing better now than five years ago.,data-slices,contradiction,0.99,34742.0,The stock market historically has a higher rate of return than government bonds do.,neutral,True
243,A2EI075XZT9Y2S,Uncertain-Flip,19012.0,Government bonds are performing better than they did five years ago.,data-slices,contradiction,0.99,34742.0,The stock market historically has a higher rate of return than government bonds do.,neutral,True
168,A2EI075XZT9Y2S,Uncertain-Flip,19027.0,The city bus will take you much farther west than Zion Square.,data-slices,entailment,1.0,34776.0,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",neutral,True
168,A2EI075XZT9Y2S,Uncertain-Flip,19028.0,The city bus will take you much further west than Zion Square.,data-slices,entailment,1.0,34776.0,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",neutral,True
168,A2EI075XZT9Y2S,Uncertain-Same,19032.0,The city bus will take you even further west than Zion Square.,data-slices,contradiction,1.0,34776.0,"Farther west from Zion Square, but still accessible by city bus (routes 9 and 17), are many more points of interest.",entailment,True
231,A2EI075XZT9Y2S,Uncertain-Same,22952.0,One story says that two lovers were killed by their Families for separating and were buried here.,data-slices,entailment,0.99,42261.0,Another legend claims these are the graves of two lovers who chose death over separation by their powerful families.,contradiction,True
231,A2EI075XZT9Y2S,Certain-Same,22956.0,One story says that two lovers were killed by their families and were buried here.,data-slices,entailment,0.99,42261.0,Another legend claims these are the graves of two lovers who chose death over separation by their powerful families.,neutral,True
198,A30HUZHJBOX1LK,Uncertain-Same,23966.0,I am at all curious about wondering if people have different ideas from the Soviet Union than today.,data-slices,contradiction,1.0,44014.0,right um i wonder i wonder if now the people in the Soviet Union don't have ideas very different from that so at least,neutral,True
198,A30HUZHJBOX1LK,Uncertain-Flip,23974.0,"I am not at all sure, but I am wondering if people have different ideas from the Soviet Union than today.",data-slices,neutral,1.0,44014.0,right um i wonder i wonder if now the people in the Soviet Union don't have ideas very different from that so at least,entailment,True
198,A30HUZHJBOX1LK,Uncertain-Flip,23976.0,I am not sure about wondering if people have different ideas from the Soviet Union than today.,data-slices,entailment,1.0,44014.0,right um i wonder i wonder if now the people in the Soviet Union don't have ideas very different from that so at least,neutral,True
165,A2EI075XZT9Y2S,Uncertain-Flip,26758.0,We have set deadlines and time limits for the members.,data-slices,entailment,1.0,49170.0,members by permitting them to set their own schedules and deadlines.,contradiction,True
276,A30HUZHJBOX1LK,Uncertain-Same,26927.0,Both companies use a lot of the same components as eachother.,data-slices,entailment,0.96,49615.0,"The new company may also benefit from merging warehousing and inventory management, and ideally there will be joint production of components that both companies use.",neutral,True
276,A30HUZHJBOX1LK,Uncertain-Flip,26931.0,Both companies will use the same components as eachother.,data-slices,neutral,0.96,49615.0,"The new company may also benefit from merging warehousing and inventory management, and ideally there will be joint production of components that both companies use.",entailment,True
225,A30HUZHJBOX1LK,Uncertain-Flip,26933.0,People preferred to send personal mail rather than make phone calls in 1997.,data-slices,contradiction,0.99,49617.0,"For example, the first number in Column (11) shows that, between 1993 and 1997, personal mail volume declined by 2.0 percent annually.",neutral,True
267,A30HUZHJBOX1LK,Certain-Flip,27518.0,There would be almost all the broadway shows without gay people.,data-slices,contradiction,0.97,50737.0,"(If it weren't for gay people, there would be no Lion King --or much else on the all-American cultural front.)",neutral,True
279,A2C84POENS2UNY,Uncertain-Flip,27970.0,"Before he turned his head, he had been listening.",data-slices,entailment,0.96,51456.0,"His head turned, his attitude now one of listening concentration.",neutral,True
171,A2EI075XZT9Y2S,Uncertain-Flip,28878.0,They were supposed to be on a fiscal calendar.,data-slices,contradiction,1.0,53012.0,"Note 2: In our work, all CBO budget projections were converted from a fiscal year to a calendar year basis.",neutral,True
171,A2EI075XZT9Y2S,Uncertain-Flip,28880.0,They were happy for the projections to be on a fiscal calendar.,data-slices,contradiction,1.0,53012.0,"Note 2: In our work, all CBO budget projections were converted from a fiscal year to a calendar year basis.",neutral,True
246,A2EI075XZT9Y2S,Uncertain-Same,29166.0,"Ca'daan said that they both knew of the weakness of their foe, and words need not be wasted on acknowledging it.",data-slices,contradiction,0.98,53607.0,"I had seen what they could do to men,"" From behind him, Ca'daan could feel Thorn stiffen.",neutral,True
246,A2EI075XZT9Y2S,Certain-Same,29169.0,"Ca'daan said nothing; they both knew of the weakness of their foe, and words need to not be wasted on acknowledging it.",data-slices,contradiction,0.98,53607.0,"I had seen what they could do to men,"" From behind him, Ca'daan could feel Thorn stiffen.",neutral,True
282,A2EI075XZT9Y2S,Uncertain-Same,29255.0,"If you will walk west from Shinobazu Pond, you will go to the Whisperer's Forest.",data-slices,contradiction,0.96,53815.0,"From here, it's a short walk west to the grounds of Shinobazu Pond.",neutral,True
153,A2EI075XZT9Y2S,Uncertain-Same,29572.0,Findings of interest are identified before case studies are done.,data-slices,contradiction,1.0,54375.0,"After identifying the findings of particular interest, case studies would be conducted in sites selected to maximize the ability to get the specific understanding required.",entailment,True
153,A2EI075XZT9Y2S,Uncertain-Same,29574.0,Findings of particular interest should be identified before case studies are done.,data-slices,contradiction,1.0,54375.0,"After identifying the findings of particular interest, case studies would be conducted in sites selected to maximize the ability to get the specific understanding required.",entailment,True
240,A30HUZHJBOX1LK,Uncertain-Flip,30311.0,ounce pieces of mail could be shipped cheaply by private carriers.,data-slices,contradiction,0.99,55826.0,"23 Competitors understand clearly that 15-ounce pieces of saturation mail can be carried privately for less than Standard-A rates, while 4-ounce pieces cannot.",neutral,True
240,A30HUZHJBOX1LK,Certain-Same,30312.0,ounce pieces of mail could be shipped for less than 4-ounce by private carriers.,data-slices,entailment,0.99,55826.0,"23 Competitors understand clearly that 15-ounce pieces of saturation mail can be carried privately for less than Standard-A rates, while 4-ounce pieces cannot.",neutral,True
240,A30HUZHJBOX1LK,Uncertain-Flip,30313.0,ounce pieces of mail could be carried cheaply by private carriers.,data-slices,contradiction,0.99,55826.0,"23 Competitors understand clearly that 15-ounce pieces of saturation mail can be carried privately for less than Standard-A rates, while 4-ounce pieces cannot.",neutral,True
240,A30HUZHJBOX1LK,Uncertain-Same,30316.0,ounce pieces of mail could be carried for less by private carriers.,data-slices,entailment,0.99,55826.0,"23 Competitors understand clearly that 15-ounce pieces of saturation mail can be carried privately for less than Standard-A rates, while 4-ounce pieces cannot.",neutral,True
159,A30HUZHJBOX1LK,Uncertain-Flip,32223.0,Styles Court was not all owned by Mr. Cavendish.,data-slices,neutral,1.0,59229.0,"Their country-place, Styles Court, had been purchased by Mr. Cavendish early in their married life. ",contradiction,True
159,A30HUZHJBOX1LK,Certain-Same,32226.0,Styles Court was no longer at all owned by Mr. Cavendish.,data-slices,contradiction,1.0,59229.0,"Their country-place, Styles Court, had been purchased by Mr. Cavendish early in their married life. ",neutral,True
186,A2C84POENS2UNY,Uncertain-Same,32688.0,Intake practices were phenomenal and more steps were need to help it improve.,data-slices,contradiction,1.0,60153.0,"In 2002, we took the steps to encourage their growth and improvement through a program letter outlining what we believe to be model intake practices.",neutral,True
186,A2C84POENS2UNY,Certain-Same,32693.0,Intake practices were phenomenal and more changes were need to help it improve.,data-slices,contradiction,1.0,60153.0,"In 2002, we took the steps to encourage their growth and improvement through a program letter outlining what we believe to be model intake practices.",neutral,True
285,A30HUZHJBOX1LK,Uncertain-Flip,35291.0,We need to assess the risk of people leaving their jobs.,data-slices,contradiction,0.96,65256.0,"This requires determining which laws, regulations, and other compliance requirements are significant to the audit objectives and assessing the risk that significant noncompliance could occur.",neutral,True
285,A30HUZHJBOX1LK,Uncertain-Flip,35292.0,We need to assess the risk of people quitting their jobs.,data-slices,contradiction,0.96,65256.0,"This requires determining which laws, regulations, and other compliance requirements are significant to the audit objectives and assessing the risk that significant noncompliance could occur.",neutral,True
285,A30HUZHJBOX1LK,Uncertain-Same,35294.0,We need to assess the risk of people just not doing their jobs.,data-slices,entailment,0.96,65256.0,"This requires determining which laws, regulations, and other compliance requirements are significant to the audit objectives and assessing the risk that significant noncompliance could occur.",neutral,True
249,A2EI075XZT9Y2S,Uncertain-Flip,35412.0,They're bragging because they don't seem to have any damage at all.,data-slices,entailment,0.98,65448.0,"They don't seem to have the damage they claim they have, and they're bragging about it.",contradiction,True
273,A2C84POENS2UNY,Uncertain-Same,37294.0,Courts inquire into validity of cases that cannot be pursued.,data-slices,neutral,0.96,68991.0,"It is not the mandated, nondistortable function of the courts to inquire into all serious questions of statutory validity in all cases.",contradiction,True
192,A2C84POENS2UNY,Uncertain-Flip,38255.0,The Covered Market is better than the one in Istanbul.,data-slices,neutral,1.0,70716.0,"Beyond the caravanserai is the town's Covered Market, which is as interesting to explore as Istanbul's.",contradiction,True
237,A2EI075XZT9Y2S,Uncertain-Same,39520.0,We try and get donations in certain locations.,data-slices,entailment,0.99,73132.0,We do not solicit donations in locations where we have not received written confirmation of compliance.,neutral,True
228,A2EI075XZT9Y2S,Uncertain-Same,39879.0,"Microsoft has a big share of the market, but has very few critics despite this fact.",data-slices,contradiction,0.99,73740.0,Microsoft's critics point out that Windows has 90 percent of the OS market.,neutral,True
228,A2EI075XZT9Y2S,Certain-Flip,39884.0,"Microsoft has a big share of the market, but has been criticized for this fact.",data-slices,entailment,0.99,73740.0,Microsoft's critics point out that Windows has 90 percent of the OS market.,neutral,True
195,A2EI075XZT9Y2S,Uncertain-Same,40473.0,The pirates were at port and chose to patrols patrol the ocean.,data-slices,contradiction,1.0,74881.0,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,neutral,True
195,A2EI075XZT9Y2S,Uncertain-Same,40475.0,The pirates were at port and were paid to patrol the ocean.,data-slices,contradiction,1.0,74881.0,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,neutral,True
252,A2C84POENS2UNY,Uncertain-Flip,41772.0,German told the redhead the linemen would not catch him there.,data-slices,neutral,0.98,77492.0,German agreed but told the redhead he'd better get out of there when the linemen came out.,contradiction,True
252,A2C84POENS2UNY,Certain-Flip,41775.0,German told the redhead that the linemen would not catch him there.,data-slices,neutral,0.98,77492.0,German agreed but told the redhead he'd better get out of there when the linemen came out.,contradiction,True
252,A2C84POENS2UNY,Uncertain-Same,41776.0,German told the redhead the linemen better get out of there.,data-slices,entailment,0.98,77492.0,German agreed but told the redhead he'd better get out of there when the linemen came out.,contradiction,True
252,A2C84POENS2UNY,Certain-Flip,41777.0,German told the redhead the linemen might not catch him there.,data-slices,neutral,0.98,77492.0,German agreed but told the redhead he'd better get out of there when the linemen came out.,contradiction,True
258,A30HUZHJBOX1LK,Uncertain-Flip,42252.0,Grover Cleveland admitted to having a child with a woman he used to be married to.,data-slices,neutral,0.98,78385.0,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",contradiction,True
258,A30HUZHJBOX1LK,Uncertain-Same,42254.0,Grover Cleveland admitted to having a child with a woman he was.,data-slices,entailment,0.98,78385.0,"In 1884, a Victorian electorate shrugged off Grover Cleveland's confessed paternity of an out-of-wedlock son.",neutral,True
174,A30HUZHJBOX1LK,Uncertain-Flip,44323.0,I know they will be able to review the transcript.,data-slices,neutral,1.0,82142.0,and maybe they can ask for a review of the transcript,contradiction,True
174,A30HUZHJBOX1LK,Uncertain-Same,44324.0,I know they will ask for someone to review the transcript.,data-slices,contradiction,1.0,82142.0,and maybe they can ask for a review of the transcript,neutral,True
264,A2EI075XZT9Y2S,Uncertain-Flip,48583.0,Nepal had no distinct borders when the treaty was signed.,data-slices,contradiction,0.97,89635.0,The peace treaty signed at Segauli established Nepal's borders pretty much as they are today.,neutral,True
219,A2C84POENS2UNY,Certain-Same,50947.0,It will take a very long time after issuance or release for the GAO to send out copies of its reports.,data-slices,contradiction,0.99,93689.0,GAO will provide electronic copies of reports to agencies upon issuance or release.,neutral,True
219,A2C84POENS2UNY,Uncertain-Same,50950.0,It will take a very long period for the GAO to send out copies of its reports.,data-slices,contradiction,0.99,93689.0,GAO will provide electronic copies of reports to agencies upon issuance or release.,neutral,True
234,A2EI075XZT9Y2S,Uncertain-Same,53875.0,Employees at higher levels of experience participate in improving operations performance.,data-slices,neutral,0.99,99411.0,Employees at all levels of high-performing organizations participate in--and have a stake in--improving operational and program performance to achieve results.,entailment,True
234,A2EI075XZT9Y2S,Uncertain-Same,53877.0,Employees at higher levels of experience have a stake in improving operations performance.,data-slices,neutral,0.99,99411.0,Employees at all levels of high-performing organizations participate in--and have a stake in--improving operational and program performance to achieve results.,entailment,True
