,Worker,hypoID,hypothesis_x,mask-typ,premID,premise_x,response,Unnamed: 0,Unnamed: 0.1,index,line-num,tokens-masked,premise_y,hypothesis_y,mask-filled,flip-class,weights,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,model_wrong
28,A3CE0SWITZK3UD,539.0,I think that doing both of them will be more effective.,original,872.0,that's the biggest killer there is i think they should do both of them,entailment,539,539,1345,872,original,that's the biggest killer there is i think they should do both of them,I think that doing both of them will be more effective.,I think that doing both of them will be more effective.,Certain-Same,0.75,neutral,neutral,0.54,0.54,0.54,False,0.0,True
48,AV22FQTJNBUZT,683.0,They were more than willing to take on the case.,original,966.0,"One example of a case we recently handled was over in Springfield, Alexander said. ",neutral,683,683,18493,966,original,"One example of a case we recently handled was over in Springfield, Alexander said. ",They were more than willing to take on the case.,They were more than willing to take on the case.,Certain-Same,0.25,contradiction,contradiction,0.82,0.82,0.82,False,0.0,True
52,A1PBFDQR599N3K,703.0,Grant award letters can be distributed in more than one way.,original,970.0,This initiative permits LSC to distribute grant award letters electronically from a secure website.,contradiction,703,703,6563,970,original,This initiative permits LSC to distribute grant award letters electronically from a secure website.,Grant award letters can be distributed in more than one way. ,Grant award letters can be distributed in more than one way. ,Certain-Same,0.75,entailment,entailment,0.96,0.96,0.96,False,0.0,True
65,A2LR8E4O0FY66O,299.0,I suppose he forgot that American girls are more mature and intellectual.,original,1216.0,"I guess he forgot 211 American girls are older for their age than English ones, and take more interest in scientific subjects.",contradiction,299,299,44262,1216,original,"I guess he forgot 211 American girls are older for their age than English ones, and take more interest in scientific subjects.",I suppose he forgot that American girls are more mature and intellectual.,I suppose he forgot that American girls are more mature and intellectual.,Certain-Same,0.25,entailment,entailment,0.85,0.85,0.85,False,0.0,True
68,A1ZT30BGR3266K,427.0,She was not particularly partial to the idea of a divorce.,original,1315.0,"I've been needing a divorce for a year, she added.",neutral,427,427,5232,1315,original,"I've been needing a divorce for a year, she added.",She was not particularly partial to the idea of a divorce. ,She was not particularly partial to the idea of a divorce. ,Certain-Same,0.75,contradiction,contradiction,0.95,0.95,0.95,False,0.0,True
90,A2PDEHYI2M81EC,651.0,There is never gonna be full equality for everyone when it comes to the institutional pie.,original,1452.0,"This means, potentially, an even bigger slice of institutional pie for someone else---one of you, to swallow.",entailment,651,651,45441,1452,original,"This means, potentially, an even bigger slice of institutional pie for someone else---one of you, to swallow.",There is never gonna be full equality for everyone when it comes to the institutional pie.,There is never gonna be full equality for everyone when it comes to the institutional pie.,Certain-Same,0.25,neutral,neutral,0.89,0.89,0.89,False,0.0,True
98,A2XYDJS33I2341,35.0,Even a fire could not have completely destroyed a will as thick as that.,original,1563.0,There was therefore no means of destroying a thick document such as a will.,entailment,35,35,43611,1563,original,There was therefore no means of destroying a thick document such as a will. ,Even a fire could not have completely destroyed a will as thick as that.,Even a fire could not have completely destroyed a will as thick as that.,Certain-Same,0.25,neutral,neutral,0.96,0.96,0.96,False,0.0,True
108,AYZX9T7RBX3ZP,303.0,"If there is power, why are the lights not turning on.",original,1747.0,"If there's no power, what are those lights?  ""Witch lights, they told us,"" the man explained.",neutral,303,303,11107,1747,original,"If there's no power, what are those lights?  ""Witch lights, they told us,"" the man explained.","If there is power, why are the lights not turning on.","If there is power, why are the lights not turning on.",Certain-Same,0.25,contradiction,contradiction,0.99,0.99,0.99,False,0.0,True
149,A1PZIN8H1VI6SY,415.0,Things got better once they stopped pressuring him so much.,original,2334.0,i think also because they done took some of the pressure off of him,entailment,415,415,2059,2334,original,i think also because they done took some of the pressure off of him,Things got better once they stopped pressuring him so much.,Things got better once they stopped pressuring him so much.,Certain-Same,0.75,neutral,neutral,0.83,0.83,0.83,False,0.0,True
153,A1ZT30BGR3266K,443.0,A newspaper in the US usually has less than half their coverage in the service area because of cable TV.,original,2351.0,A typical newspaper in the U.S. has less than 50 percent coverage in its service area.,entailment,443,443,919,2351,original,A typical newspaper in the U.S. has less than 50 percent coverage in its service area.,A newspaper in the US usually has less than half their coverage in the service area because of cable TV.,A newspaper in the US usually has less than half their coverage in the service area because of cable TV.,Certain-Same,0.75,neutral,neutral,1.0,1.0,1.0,False,0.0,True
157,AKQAI78JTXXC9,447.0,Pockets were required to house all 95 single-serve units of clean urine between the carriers of the products.,original,2352.0,95 packages of drug-free urine in their pockets.,neutral,447,447,1070,2352,original,95 packages of drug-free urine in their pockets.,Pockets were required to house all 95 single-serve units of clean urine between the carriers of the products. ,Pockets were required to house all 95 single-serve units of clean urine between the carriers of the products. ,Certain-Same,0.75,entailment,entailment,0.5,0.5,0.5,False,0.0,True
186,A2EAJ7834XI2IT,243.0,The Internal controls were good enough for the external financial reporting but nothing more.,original,3223.0,The internal controls that were considered adequate for external financial reporting were not always sufficient for performance management.,contradiction,243,243,46421,3223,original,The internal controls that were considered adequate for external financial reporting were not always sufficient for performance management.,The Internal controls were good enough for the external financial reporting but nothing more.,The Internal controls were good enough for the external financial reporting but nothing more.,Certain-Same,0.25,neutral,neutral,0.91,0.91,0.91,False,0.0,True
223,A2SD7GN80U31GW,639.0,The sundial has kept accurate time for more than a century.,original,4008.0,"Planted with hundreds of pretty blooms, all in pristine condition, it has kept accurate time since its creation in 1903.",entailment,639,639,12668,4008,original,"Planted with hundreds of pretty blooms, all in pristine condition, it has kept accurate time since its creation in 1903.",The sundial has kept accurate time for more than a century.,The sundial has kept accurate time for more than a century.,Certain-Same,0.25,neutral,neutral,0.94,0.94,0.94,False,0.0,True
227,AFU00NU09CFXE,3.0,There's no possibility that he will have to send a cable or something similar.,original,4096.0,"He may have to send cables, or something like that.",neutral,3,3,42985,4096,original,"He may have to send cables, or something like that.",There's no possibility that he will have to send a cable or something similar. ,There's no possibility that he will have to send a cable or something similar. ,Certain-Same,0.25,contradiction,contradiction,1.0,1.0,1.0,False,0.0,True
235,A1D9ZWU1M46SAF,87.0,People are certainly not stupid enough to realize what's good and bad for them.,original,4153.0,Or that people are too stupid to realize what's bad for them?,neutral,87,87,27798,4153,original,Or that people are too stupid to realize what's bad for them?,People are certainly not stupid enough to realize what's good and bad for them.,People are certainly not stupid enough to realize what's good and bad for them.,Certain-Same,0.25,contradiction,contradiction,0.96,0.96,0.96,False,0.0,True
246,ASVRLMDNQBUD9,231.0,The campaigns will take  a toll after some time.,original,4243.0,But what's more likely is that time and the natural course of campaigns will take their toll.,neutral,231,231,3766,4243,original,But what's more likely is that time and the natural course of campaigns will take their toll.,The campaigns will take  a toll after some time. ,The campaigns will take  a toll after some time. ,Certain-Same,0.75,entailment,entailment,0.98,0.98,0.98,False,0.0,True
249,A5BVUW06ZQ6D3,307.0,"I felt that if Miss Howard was a murderer, then play-acting a part should be no big deal. ",original,4308.0,"If Miss Howard were capable of poisoning the old lady, she would be quite equally capable of simulating devotion. ",contradiction,307,307,497,4308,original,"If Miss Howard were capable of poisoning the old lady, she would be quite equally capable of simulating devotion. ","I felt that if Miss Howard was a murderer, then play-acting a part should be no big deal. ","I felt that if Miss Howard was a murderer, then play-acting a part should be no big deal. ",Certain-Same,0.75,entailment,entailment,0.69,0.69,0.69,False,0.0,True
277,A37STRL9Z7ZDSD,331.0,Waking Ned Devine could have easily been more boring if Jones hadn't used the actors and settings he did.,original,4845.0,Waking Ned Devine might have been a snooze if Jones hadn't stocked it with a slew of old actors with magically lived-in visages.,neutral,331,331,42406,4845,original,Waking Ned Devine might have been a snooze if Jones hadn't stocked it with a slew of old actors with magically lived-in visages.,Waking Ned Devine could have easily been more boring if Jones hadn't used the actors and settings he did.,Waking Ned Devine could have easily been more boring if Jones hadn't used the actors and settings he did.,Certain-Same,0.25,entailment,entailment,0.85,0.85,0.85,False,0.0,True
295,A3TUMZ954ORSUC,207.0,"The penalty is three times the auction clearing price, if the offset and penalty are made 31 or more days after the deadline.",original,5250.0,"If the offset and penalty payment are made 31 or more days after the deadline, the penalty is three times the auction clearing price.",neutral,207,207,40811,5250,original,"If the offset and penalty payment are made 31 or more days after the deadline, the penalty is three times the auction clearing price.","The penalty is three times the auction clearing price, if the offset and penalty are made 31 or more days after the deadline.","The penalty is three times the auction clearing price, if the offset and penalty are made 31 or more days after the deadline.",Certain-Same,0.25,entailment,entailment,0.99,0.99,0.99,False,0.0,True
299,AYHK8DTZONHKC,255.0,It would not be pleasant for it to mimic the other places.,original,5273.0,It would be a shame to see it finally give in and become more like everywhere else.,neutral,255,255,14320,5273,original,It would be a shame to see it finally give in and become more like everywhere else.,It would not be pleasant for it to mimic the other places.,It would not be pleasant for it to mimic the other places.,Certain-Same,0.25,entailment,entailment,0.96,0.96,0.96,False,0.0,True
320,ACJ6NSCIWMUZI,559.0,It is not possible that you can do that on a credit card.,original,5991.0,oh my uh-huh can you do that on a credit card,neutral,559,559,5535,5991,original,oh my uh-huh can you do that on a credit card,It is not possible that you can do that on a credit card.  ,It is not possible that you can do that on a credit card.  ,Certain-Same,0.75,contradiction,contradiction,0.87,0.87,0.87,False,0.0,True
335,A1CX45M5UVAM9R,179.0,The land in France is more prosperous than other lands.,original,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",contradiction,179,179,3889,6770,original,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",The land in France is more prosperous than other lands.,The land in France is more prosperous than other lands.,Certain-Same,0.75,neutral,neutral,0.97,0.97,0.97,False,0.0,True
343,A3RYI5HXC2MJLN,359.0,Muslim and Middle Eastern men were failed by the legal profession after Sept. 11.,original,7418.0,"Sept. 11 may reflect a failing of the legal profession during a crisis for one group, Muslim and Middle Eastern men.",neutral,359,359,13855,7418,original,"Sept. 11 may reflect a failing of the legal profession during a crisis for one group, Muslim and Middle Eastern men.",Muslim and Middle Eastern men were failed by the legal profession after Sept. 11.,Muslim and Middle Eastern men were failed by the legal profession after Sept. 11.,Certain-Same,0.25,entailment,entailment,0.99,0.99,0.99,False,0.0,True
357,A3UP4PP3ZF1J39,727.0,There are some decision makers who decision makers may decide not to go forward with the development even when trade-offs are impossible.,original,7644.0,"If trade-offs are not possible, decision makers may decide not to go forward with the development.",entailment,727,727,35,7644,original,"If trade-offs are not possible, decision makers may decide not to go forward with the development.",There are some decision makers who decision makers may decide not to go forward with the development even when trade-offs are impossible.,There are some decision makers who decision makers may decide not to go forward with the development even when trade-offs are impossible.,Certain-Same,0.75,neutral,neutral,0.62,0.62,0.62,False,0.0,True
367,A3SLISG1IED7TZ,91.0,I have never had enough luck to make a hole in one.,original,7741.0,yeah well i guess there's a certain amount of luck in any hole in one,contradiction,91,91,3156,7741,original,yeah well i guess there's a certain amount of luck in any hole in one,I have never had enough luck to make a hole in one.,I have never had enough luck to make a hole in one.,Certain-Same,0.75,neutral,neutral,0.92,0.92,0.92,False,0.0,True
386,A273PAYHIAJHO7,599.0,"When you are on your back, it is easier to take care of all of them.",original,8065.0,wow of course it's real easy to take care of the first one when you're on your back,entailment,599,599,15932,8065,original,wow of course it's real easy to take care of the first one when you're on your back,"When you are on your back, it is easier to take care of all of them.","When you are on your back, it is easier to take care of all of them.",Certain-Same,0.25,neutral,neutral,0.95,0.95,0.95,False,0.0,True
398,A1G452MFAS690B,143.0,"We followed his lead into the room, and he bolted the door after us.",original,8285.0,"We followed him in, and he shut the door after us. ",entailment,143,143,4414,8285,original,"We followed him in, and he shut the door after us. ","We followed his lead into the room, and he bolted the door after us.","We followed his lead into the room, and he bolted the door after us.",Certain-Same,0.75,neutral,neutral,0.67,0.67,0.67,False,0.0,True
414,A1F1BIPJR11LSR,423.0,"There are ways to make the reading more understandable, provided we work for it.",original,8483.0,"If we do define SBIR upfront, we make the reading more understandable and more efficient.",entailment,423,423,396,8483,original,"If we do define SBIR upfront, we make the reading more understandable and more efficient.","There are ways to make the reading more understandable, provided we work for it.","There are ways to make the reading more understandable, provided we work for it.",Certain-Same,0.75,neutral,neutral,0.82,0.82,0.82,False,0.0,True
417,A1PAY3X73PQ16S,499.0,I did not find it funny because of my sense of humor.,original,8535.0,no i thought it was funny but that's my sense of humor i guess,contradiction,499,499,786,8535,original,no i thought it was funny but that's my sense of humor i guess,I did not find it funny because of my sense of humor.,I did not find it funny because of my sense of humor.,Certain-Same,0.75,entailment,entailment,0.71,0.71,0.71,False,0.0,True
424,A9ZBEA4T2FNZ3,23.0,It's no amusing aspect to seeing the absurdities of racism the psychiatrists of old had.,original,8711.0,It's always entertaining to go back and read about the racist inanities of psychiatrists past.,entailment,23,23,42728,8711,original,It's always entertaining to go back and read about the racist inanities of psychiatrists past.,It's no amusing aspect to seeing the absurdities of racism the psychiatrists of old had.,It's no amusing aspect to seeing the absurdities of racism the psychiatrists of old had.,Certain-Same,0.25,contradiction,contradiction,1.0,1.0,1.0,False,0.0,True
428,A17LF7GCAFYMSL,31.0,The highest of highbrow tastes enjoy the Tel Aviv Performing Arts Center most of all.,original,8721.0,"Those with more highbrow tastes should make for the Tel Aviv Performing Arts Centre, Leonardo Da Vinci Street.",entailment,31,31,3978,8721,original,"Those with more highbrow tastes should make for the Tel Aviv Performing Arts Centre, Leonardo Da Vinci Street.",The highest of highbrow tastes enjoy the Tel Aviv Performing Arts Center most of all.,The highest of highbrow tastes enjoy the Tel Aviv Performing Arts Center most of all.,Certain-Same,0.75,neutral,neutral,0.78,0.78,0.78,False,0.0,True
461,A3UP4PP3ZF1J39,711.0,"There are many farms crowding the area, which all produce milk and pork.",original,9172.0,"There are a few farms, scattered fields marked by stone walls, and corrals enclosing sheep, goats, and pigs.",neutral,711,711,11635,9172,original,"There are a few farms, scattered fields marked by stone walls, and corrals enclosing sheep, goats, and pigs.","There are many farms crowding the area, which all produce milk and pork.","There are many farms crowding the area, which all produce milk and pork.",Certain-Same,0.25,contradiction,contradiction,0.94,0.94,0.94,False,0.0,True
465,A2YOVBJ9EXAI8W,39.0,There is no solid answer to which is cause or which is effect.,original,9244.0,Which is cause and which is effect here is an open question.,neutral,39,39,19762,9244,original,Which is cause and which is effect here is an open question.,There is no solid answer to which is cause or which is effect.,There is no solid answer to which is cause or which is effect.,Certain-Same,0.25,entailment,entailment,0.95,0.95,0.95,False,0.0,True
474,A2YOVBJ9EXAI8W,411.0,A part can never have more than a 90 percent chance of not having a defect.,original,9501.0,"In comparison, if the same parts are produced with manufacturing processes at a Cpk of 1.33, the probability of each part being defect free is 99.",neutral,411,411,3924,9501,original,"In comparison, if the same parts are produced with manufacturing processes at a Cpk of 1.33, the probability of each part being defect free is 99.",A part can never have more than a 90 percent chance of not having a defect.,A part can never have more than a 90 percent chance of not having a defect.,Certain-Same,0.75,contradiction,contradiction,0.96,0.96,0.96,False,0.0,True
477,A24RGLS3BRZ60J,595.0,Radio is more exciting since you build the world in your own head.,original,9598.0,and the radio is you know more exciting really than than television  kept your imagination,entailment,595,595,41079,9598,original,and the radio is you know more exciting really than than television  kept your imagination,Radio is more exciting since you build the world in your own head.,Radio is more exciting since you build the world in your own head.,Certain-Same,0.25,neutral,neutral,0.95,0.95,0.95,False,0.0,True
493,A12FTSX85NQ8N9,371.0,Did you work out after your first child and before the second?,original,9986.0,yeah i understand did you exercise between your first child and your second,neutral,371,371,10456,9986,original,yeah i understand did you exercise between your first child and your second,Did you work out after your first child and before the second?,Did you work out after your first child and before the second?,Certain-Same,0.25,entailment,entailment,0.94,0.94,0.94,False,0.0,True
513,A1F1BIPJR11LSR,627.0,The paper on Monday was all about the dead 225 man.,original,10663.0,Monday's paper dealt appreciatively with the dead 225 man's career.,neutral,627,627,34940,10663,original,Monday's paper dealt appreciatively with the dead 225 man's career.,The paper on Monday was all about the dead 225 man.,The paper on Monday was all about the dead 225 man.,Certain-Same,0.25,entailment,entailment,0.69,0.69,0.69,False,0.0,True
517,A1F1BIPJR11LSR,675.0,When he did five to seven copy pastes he felt even more secure than he did the night before.,original,10692.0,"And when he did five to seven copypastes, which resulted in two smaller contracts, he felt even more than secure.",entailment,675,675,8777,10692,original,"And when he did five to seven copypastes, which resulted in two smaller contracts, he felt even more than secure.",When he did five to seven copy pastes he felt even more secure than he did the night before.,When he did five to seven copy pastes he felt even more secure than he did the night before.,Certain-Same,0.25,neutral,neutral,1.0,1.0,1.0,False,0.0,True
530,A2CS8ESKDX6EBA,211.0,"Yes, not judging by age or what you look like. ",original,10890.0,yeah exactly or the way you look or the way you you know your age or anything i think that'd be a wonderful way to do it,neutral,211,211,7060,10890,original,yeah exactly or the way you look or the way you you know your age or anything i think that'd be a wonderful way to do it,"Yes, not judging by age or what you look like. ","Yes, not judging by age or what you look like. ",Certain-Same,0.75,entailment,entailment,0.77,0.77,0.77,False,0.0,True
541,ACJ12KIXGZZFH,519.0,"If you put together all of these one-day fluctuations, someone could have a big problem.",original,11107.0,"These one-day fluctuations make absolutely no difference in one's financial circumstances, but watching them offers a fan's pleasure.",neutral,519,519,52665,11107,original,"These one-day fluctuations make absolutely no difference in one's financial circumstances, but watching them offers a fan's pleasure.","If you put together all of these one-day fluctuations, someone could have a big problem.","If you put together all of these one-day fluctuations, someone could have a big problem.",Certain-Same,0.25,contradiction,contradiction,0.56,0.56,0.56,False,0.0,True
545,AC0BP4IGV99MS,471.0,Data converted to 2k dollars for all urban consumers using the consumer price index.,original,11258.0,Data converted to 2000 dollars using the consumer price index for all urban consumers.,entailment,471,471,295,11258,original,Data converted to 2000 dollars using the consumer price index for all urban consumers.,Data converted to 2k dollars for all urban consumers using the consumer price index.,Data converted to 2k dollars for all urban consumers using the consumer price index.,Certain-Same,0.75,contradiction,contradiction,0.75,0.75,0.75,False,0.0,True
561,A3TJ2AMFKJGXL4,479.0,"If one uses only people's opinions, there could be some considerations regarding clustering.",original,11588.0,"Using only the data in the table, several bases for clustering could be considered.",neutral,479,479,3943,11588,original,"Using only the data in the table, several bases for clustering could be considered.","If one uses only people's opinions, there could be some considerations regarding clustering.","If one uses only people's opinions, there could be some considerations regarding clustering.",Certain-Same,0.75,contradiction,contradiction,0.94,0.94,0.94,False,0.0,True
579,A3KU8DC7HJOGCM,203.0,Technology is completely priced by the government and never left to the free-market.,original,11904.0,But this is not the way to debate free-market pricing of technology.,neutral,203,203,31286,11904,original,But this is not the way to debate free-market pricing of technology.,Technology is completely priced by the government and never left to the free-market.,Technology is completely priced by the government and never left to the free-market.,Certain-Same,0.25,contradiction,contradiction,1.0,1.0,1.0,False,0.0,True
610,A3SLISG1IED7TZ,75.0,There isn't much my sons do not know about the outdoors.,original,12342.0,and uh i like to think that my children my sons learned a lot about uh the outdoors uh uh uh being self-sustaining,entailment,75,75,12727,12342,original,and uh i like to think that my children my sons learned a lot about uh the outdoors uh uh uh being self-sustaining,There isn't much my sons do not know about the outdoors.,There isn't much my sons do not know about the outdoors.,Certain-Same,0.25,neutral,neutral,0.89,0.89,0.89,False,0.0,True
614,A1PAY3X73PQ16S,135.0,"An interim air-operating permit may need to be obtained until changes occurs, but only in some States.",original,12378.0,"In some States, an interim air-operating permit may need to be obtained until the Title V permit is modified.",neutral,135,135,40787,12378,original,"In some States, an interim air-operating permit may need to be obtained until the Title V permit is modified.","An interim air-operating permit may need to be obtained until changes occurs, but only in some States.","An interim air-operating permit may need to be obtained until changes occurs, but only in some States.",Certain-Same,0.25,entailment,entailment,0.57,0.57,0.57,False,0.0,True
618,A1PTH9KTRO06EG,199.0,"The pro bono services are not very popular with lawyers, especially experienced ones.",original,12411.0,"He fished me in, Concannon said, adding, People need lawyers, and there's a growing amount of poor that need pro bono services.",contradiction,199,199,20952,12411,original,"He fished me in, Concannon said, adding, People need lawyers, and there's a growing amount of poor that need pro bono services.","The pro bono services are not very popular with lawyers, especially experienced ones.","The pro bono services are not very popular with lawyers, especially experienced ones.",Certain-Same,0.25,neutral,neutral,0.96,0.96,0.96,False,0.0,True
